"# value_kind: derived=tokens_per_call,n_calls,n_blocks,waves,grid_sat_sm,grid_sat_sm_pred,grid_starved,asym_headroom; metadata=model,device,config_status,batch,seq,chunk_granularity,ssd_chunk,n_heads,sm_count,blocks_per_sm"
model__metadata,device__metadata,config_status__metadata,batch__metadata,seq__metadata,chunk_granularity__metadata,ssd_chunk__metadata,n_heads__metadata,sm_count__metadata,blocks_per_sm__metadata,tokens_per_call__derived,n_calls__derived,n_blocks__derived,waves__derived,grid_sat_sm__derived,grid_sat_sm_pred__derived,grid_starved__derived,asym_headroom__derived
zamba2_1.2b,a100_sxm4_80gb,provisional,32,2048,full,256,64,81,1,2048,1,16384,202.2716,16384,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,32,2048,full,256,64,94,1,2048,1,16384,174.2979,16384,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,32,2048,full,256,64,108,1,2048,1,16384,151.7037,16384,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,32,8192,256,256,64,14,1,256,32,2048,146.2857,2048,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,32,8192,256,256,64,27,1,256,32,2048,75.8519,2048,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,32,8192,256,256,64,40,1,256,32,2048,51.2,2048,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,32,8192,256,256,64,54,1,256,32,2048,37.9259,2048,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,32,8192,256,256,64,68,1,256,32,2048,30.1176,2048,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,32,8192,256,256,64,81,1,256,32,2048,25.284,2048,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,32,8192,256,256,64,94,1,256,32,2048,21.7872,2048,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,32,8192,256,256,64,108,1,256,32,2048,18.963,2048,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,32,8192,512,256,64,14,1,512,16,4096,292.5714,4096,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,32,8192,512,256,64,27,1,512,16,4096,151.7037,4096,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,32,8192,512,256,64,40,1,512,16,4096,102.4,4096,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,32,8192,512,256,64,54,1,512,16,4096,75.8519,4096,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,32,8192,512,256,64,68,1,512,16,4096,60.2353,4096,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,32,8192,512,256,64,81,1,512,16,4096,50.5679,4096,108,False,False
