"# value_kind: measured=latency_ms,latency_std_ms,achieved_bw_gbs; derived=n_blocks_per_call,waves,bw_util_pct; metadata=model,config_status,layer_type,batch,seq,chunk_granularity,tokens_per_call,context_len,sm_count,status,n_measure"
model__metadata,config_status__metadata,layer_type__metadata,batch__metadata,seq__metadata,chunk_granularity__metadata,tokens_per_call__metadata,context_len__metadata,sm_count__metadata,status__metadata,n_measure__metadata,n_blocks_per_call__derived,waves__derived,latency_ms__measured,latency_std_ms__measured,achieved_bw_gbs__measured,bw_util_pct__derived
falcon_h1_3b,verified,attn,8,2048,256,256,4096,81,ok,30,320,3.9506,0.32666,0.00145,243.962,11.965
falcon_h1_3b,verified,attn,8,2048,512,512,0,81,ok,30,640,7.9012,0.0983,0.00287,938.667,46.036
falcon_h1_3b,verified,attn,8,2048,512,512,4096,81,ok,30,640,7.9012,0.64922,0.0025,193.817,9.505
falcon_h1_3b,verified,attn,32,2048,256,256,0,81,ok,30,1280,15.8025,0.10752,0.00094,1716.419,84.179
falcon_h1_3b,verified,attn,32,2048,256,256,4096,81,ok,30,1280,15.8025,1.19398,0.00125,266.978,13.094
falcon_h1_3b,verified,attn,32,2048,512,512,0,81,ok,30,2560,31.6049,0.24422,0.00192,1511.312,74.12
falcon_h1_3b,verified,attn,32,2048,512,512,4096,81,ok,30,2560,31.6049,2.48013,0.00357,202.94,9.953
falcon_h1_3b,verified,attn,128,2048,256,256,0,81,ok,30,5120,63.2099,0.31232,0.00177,2363.593,115.919
falcon_h1_3b,verified,attn,128,2048,256,256,4096,81,ok,30,5120,63.2099,4.74675,0.01663,268.619,13.174
falcon_h1_3b,verified,attn,128,2048,512,512,0,81,ok,30,10240,126.4198,0.85709,0.00423,1722.571,84.481
falcon_h1_3b,verified,attn,128,2048,512,512,4096,81,ok,30,10240,126.4198,9.62714,0.25843,209.124,10.256
falcon_h1_3b,verified,ssm,1,2048,256,256,0,94,ok,30,64,0.6809,0.50739,0.01232,8.816,0.432
falcon_h1_3b,verified,ssm,1,2048,512,512,0,94,ok,30,128,1.3617,0.50381,0.00803,17.756,0.871
falcon_h1_3b,verified,ssm,8,2048,256,256,0,94,ok,30,512,5.4468,0.55808,0.00624,64.118,3.145
falcon_h1_3b,verified,ssm,8,2048,512,512,0,94,ok,30,1024,10.8936,0.6272,0.00557,114.103,5.596
falcon_h1_3b,verified,ssm,32,2048,256,256,0,94,ok,30,2048,21.7872,1.03834,0.00445,137.846,6.76
falcon_h1_3b,verified,ssm,32,2048,512,512,0,94,ok,30,4096,43.5745,1.94048,0.00543,147.521,7.235
falcon_h1_3b,verified,ssm,128,2048,256,256,0,94,ok,30,8192,87.1489,4.00282,0.00573,143.03,7.015
falcon_h1_3b,verified,ssm,128,2048,512,512,0,94,ok,30,16384,174.2979,7.50694,0.00994,152.531,7.481
