"# value_kind: measured=solo_prefill_ms,solo_decode_ms,prefill_stream_ms,decode_stream_ms,concurrent_ms; derived=overlap_ratio,speedup_vs_seq,decode_inflation_pct,combined_tok_per_ms; metadata=model,device,config_status,prefill_layer,decode_layer,decode_batch,context_len,prefill_tokens,chunk,backend,prefill_sm_frac,prefill_sm,decode_sm,status"
model__metadata,device__metadata,config_status__metadata,prefill_layer__metadata,decode_layer__metadata,decode_batch__metadata,context_len__metadata,prefill_tokens__metadata,chunk__metadata,backend__metadata,prefill_sm_frac__metadata,prefill_sm__metadata,decode_sm__metadata,status__metadata,solo_prefill_ms__measured,solo_decode_ms__measured,prefill_stream_ms__measured,decode_stream_ms__measured,concurrent_ms__measured,overlap_ratio__derived,speedup_vs_seq__derived,decode_inflation_pct__derived,combined_tok_per_ms__derived
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,32,16384,256,256,sequential,,108,108,ok,0.51,1.8181,0.51,1.8181,2.3281,1.0,1.0,0.0,123.7079
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,32,16384,256,256,two_stream,,108,108,ok,0.51,1.8181,0.5284,1.9374,1.9374,0.8322,1.2016,6.5615,148.6522
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,32,16384,256,256,green_ctx,0.5,54,54,ok,0.51,1.8181,0.5396,3.4284,3.4284,1.4726,0.6791,88.5666,84.0054
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,32,16384,256,256,green_ctx,0.7,76,32,ok,0.51,1.8181,0.5402,5.5962,5.5962,2.4038,0.416,207.8006,51.4639
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,64,16384,256,256,sequential,,108,108,ok,0.5094,3.7366,0.5094,3.7366,4.246,1.0,1.0,0.0,75.3648
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,64,16384,256,256,two_stream,,108,108,ok,0.5094,3.7366,0.5294,3.6823,3.6823,0.8672,1.1531,-1.4525,86.9021
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,64,16384,256,256,green_ctx,0.5,54,54,ok,0.5094,3.7366,0.5422,6.7625,6.7625,1.5927,0.6279,80.9811,47.3198
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,64,16384,256,256,green_ctx,0.7,76,32,ok,0.5094,3.7366,0.5356,11.0705,11.0705,2.6073,0.3835,196.2729,28.9057
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,128,16384,256,256,sequential,,108,108,ok,0.5105,7.6508,0.5105,7.6508,8.1613,1.0,1.0,0.0,47.0514
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,128,16384,256,256,two_stream,,108,108,ok,0.5105,7.6508,0.5304,7.4015,7.4015,0.9069,1.1027,-3.259,51.8816
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,128,16384,256,256,green_ctx,0.5,54,54,ok,0.5105,7.6508,0.5417,13.2557,13.2557,1.6242,0.6157,73.2584,28.9687
