"# value_kind: measured=solo_prefill_ms,solo_decode_ms,prefill_stream_ms,decode_stream_ms,concurrent_ms; derived=overlap_ratio,speedup_vs_seq,decode_inflation_pct,combined_tok_per_ms; metadata=model,device,config_status,prefill_layer,decode_layer,decode_batch,context_len,prefill_tokens,chunk,backend,prefill_sm_frac,prefill_sm,decode_sm,status"
model__metadata,device__metadata,config_status__metadata,prefill_layer__metadata,decode_layer__metadata,decode_batch__metadata,context_len__metadata,prefill_tokens__metadata,chunk__metadata,backend__metadata,prefill_sm_frac__metadata,prefill_sm__metadata,decode_sm__metadata,status__metadata,solo_prefill_ms__measured,solo_decode_ms__measured,prefill_stream_ms__measured,decode_stream_ms__measured,concurrent_ms__measured,overlap_ratio__derived,speedup_vs_seq__derived,decode_inflation_pct__derived,combined_tok_per_ms__derived
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,256,1024,256,256,sequential,,108,108,ok,0.513,4.1006,0.513,4.1006,4.6136,1.0,1.0,0.0,110.9755
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,256,1024,256,256,two_stream,,108,108,ok,0.513,4.1006,0.5345,4.053,4.053,0.8785,1.1383,-1.1612,126.3264
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,256,1024,256,256,green_ctx,0.5,54,54,ok,0.513,4.1006,0.5443,7.1895,7.1895,1.5583,0.6417,75.3278,71.2149
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,256,1024,256,256,green_ctx,0.7,76,32,ok,0.513,4.1006,0.5407,11.9501,11.9501,2.5902,0.3861,191.4221,42.8449
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,8,2048,256,256,sequential,,108,108,ok,0.5105,0.3267,0.5105,0.3267,0.8371,1.0,1.0,0.0,315.367
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,8,2048,256,256,two_stream,,108,108,ok,0.5105,0.3267,0.5176,0.34,0.5176,0.6183,1.6172,4.0752,510.0148
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,8,2048,256,256,green_ctx,0.5,54,54,ok,0.5105,0.3267,0.5335,0.5028,0.5335,0.6373,1.5691,53.9185,494.8416
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,8,2048,256,256,green_ctx,0.7,76,32,ok,0.5105,0.3267,0.5315,0.769,0.769,0.9187,1.0885,135.4232,343.2923
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,32,2048,256,256,sequential,,108,108,ok,0.513,0.9626,0.513,0.9626,1.4756,1.0,1.0,0.0,195.177
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,32,2048,256,256,two_stream,,108,108,ok,0.513,0.9626,0.5279,0.981,0.981,0.6648,1.5042,1.9149,293.5804
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,32,2048,256,256,green_ctx,0.5,54,54,ok,0.513,0.9626,0.5412,1.7833,1.7833,1.2085,0.8274,85.266,161.4987
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,32,2048,256,256,green_ctx,0.7,76,32,ok,0.513,0.9626,0.5458,2.9466,2.9466,1.9969,0.5008,206.117,97.7411
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,64,2048,256,256,sequential,,108,108,ok,0.5125,1.8376,0.5125,1.8376,2.3501,1.0,1.0,0.0,136.1656
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,64,2048,256,256,two_stream,,108,108,ok,0.5125,1.8376,0.5304,1.9241,1.9241,0.8187,1.2214,4.7088,166.3119
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,64,2048,256,256,green_ctx,0.5,54,54,ok,0.5125,1.8376,0.5448,3.5302,3.5302,1.5022,0.6657,92.1148,90.6454
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,64,2048,256,256,green_ctx,0.7,76,32,ok,0.5125,1.8376,0.5396,5.8496,5.8496,2.4891,0.4018,218.3338,54.7046
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,128,2048,256,256,sequential,,108,108,ok,0.5166,3.9736,0.5166,3.9736,4.4902,1.0,1.0,0.0,85.5188
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,128,2048,256,256,two_stream,,108,108,ok,0.5166,3.9736,0.535,3.8354,3.8354,0.8542,1.1707,-3.4789,100.1201
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,128,2048,256,256,green_ctx,0.5,54,54,ok,0.5166,3.9736,0.5443,7.0308,7.0308,1.5658,0.6387,76.936,54.617
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,128,2048,256,256,green_ctx,0.7,76,32,ok,0.5166,3.9736,0.5376,11.6628,11.6628,2.5974,0.385,193.506,32.9251
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,256,2048,256,256,sequential,,108,108,ok,0.5166,8.0492,0.5166,8.0492,8.5658,1.0,1.0,0.0,59.7729
